-3673.9784515118317,-5271.223542700146
-3670.0,-5287.0
-3640.3335704999013,-5404.739691009667
-3639.0,-5410.0
-3590.0,-5602.0
-3586.917991477497,-5614.228301979612
-3546.0,-5777.0
-3515.082771673321,-5894.247220309438
-3509.0,-5917.0
-3462.0,-6092.0
-3440.2171754887613,-6174.023611754111
-3411.0,-6284.0
-3364.890452551504,-6454.356354871618
-3354.0,-6495.0
-3312.0,-6654.0
-3308.7731625390547,-6666.156906784625
-3252.850942995936,-6874.103807262054
-3241.0,-6918.0
-3198.851233138565,-7073.317666223519
-3197.0,-7080.0
-3166.0,-7190.0
-3145.172720986697,-7264.235607852749
-3103.0,-7415.0
-3090.682185002221,-7458.466577417513
-3059.014072302398,-7566.191057156137
-3040.0,-7627.0
-2989.85985858989,-7782.793616587087
-2973.0,-7834.0
-2935.6739400990423,-7941.969485745195
-2901.594297482149,-8017.653856654361
-2897.0,-8028.0
-2857.0,-8115.0
-2800.0,-8219.0
-2791.482521765933,-8234.120022350211
-2768.627488668558,-8272.21004470657
-2754.0,-8291.0
-2733.50652254709,-8316.896723232605
-2669.922412560441,-8392.20971688902
-2654.0,-8408.0
-2590.201094457598,-8457.617113081578
-2518.0,-8495.0
-2479.236259060112,-8508.628439153921
-2449.0,-8514.0
-2397.0,-8519.0
-2373.116075848009,-8518.98535851941
-2334.0,-8515.0
-2311.4185247278256,-8510.348354999207
-2252.3379028457357,-8490.207183198294
-2245.0,-8487.0
-2208.4888484019875,-8468.47795919516
-2191.0,-8458.0
-2145.5704938750287,-8426.175276250948
-2144.0,-8425.0
-2093.4367705929844,-8385.30615464918
-2087.0,-8380.0
-2025.70616367074,-8326.388192316728
-2004.0,-8307.0
-1966.6384589414524,-8273.683724851015
-1941.0,-8251.0
-1882.826748101774,-8201.41608250917
-1838.0,-8169.0
-1812.1597781921323,-8151.863892836408
-1781.0,-8132.0
-1716.3544479392135,-8096.9767298822
-1683.0,-8088.0
-1590.0585557654,-8074.491795173685
-1561.0,-8072.0
-1463.8616297983053,-8087.344591745405
-1438.0,-8098.0
-1410.1870117505655,-8108.733131062551
-1329.0,-8140.0
-1309.1393224524518,-8148.1539780179055
-1156.0,-8214.0
-1110.0221339276711,-8233.647345155801
-1017.9916196342805,-8266.87056524759
-1002.0,-8272.0
-873.3333894804902,-8311.741212879107
-855.0,-8317.0
-783.932181284452,-8334.97566469338
-707.1865228076107,-8344.992757507458
-684.0,-8347.0
-595.6661453244886,-8353.062896738067
-518.0,-8355.0
-499.8740588162915,-8354.68436205985
-393.0,-8346.0
-320.6928539173046,-8336.86106050944
-255.0,-8328.0
-198.5275313162524,-8319.970714114783
-119.0,-8295.0
-20.135474835649898,-8255.499760326024
126.0,-8194.0
234.81635289032693,-8139.336869648956
276.41943059408044,-8106.9822838628215
312.0,-8080.0
371.0929651810123,-8035.553217132922
411.0,-8003.0
497.54688236372016,-7923.19081559599
584.0,-7836.0
607.9924698868786,-7810.706156764322
692.0,-7702.0
748.5302944082003,-7610.903961210171
876.0,-7389.0
909.6771851712692,-7321.501042068303
928.2778320621683,-7266.166988786147
933.0,-7252.0
980.0,-7109.0
991.4078543977688,-7072.249732775984
1030.0,-6934.0
1033.7814327378428,-6919.470233766611
1090.0,-6697.0
1102.3788099094888,-6647.64039118131
1140.358379628045,-6496.848977118732
1147.0,-6471.0
1192.330395094071,-6295.147596627969
1202.0,-6257.0
1248.0,-6071.0
1259.1822341032055,-6024.705215518895
